Village_Code,Town_Code,縣市,鄉鎮區,村里,KMT,DPP,PFP,KMT_rate,DPP_rate,PFP_rate,Valid_Votes,Invalid_Votes,Votes,Valid_People,Votes_Rate
6601100-001,6601100,台中市,大甲區,朝陽里,282,518,124,0.305194805,0.560606061,0.134199134,924,7,931,1344,0.692708333
6601100-002,6601100,台中市,大甲區,大甲里,210,404,90,0.298295455,0.573863636,0.127840909,704,7,711,996,0.713855422
6601100-003,6601100,台中市,大甲區,順天里,303,620,118,0.291066282,0.595581172,0.113352546,1041,8,1049,1518,0.691040843
6601100-004,6601100,台中市,大甲區,孔門里,171,240,54,0.367741935,0.516129032,0.116129032,465,3,468,780,0.6
6601100-005,6601100,台中市,大甲區,平安里,418,807,163,0.301152738,0.581412104,0.117435159,1388,22,1410,2010,0.701492537
6601100-006,6601100,台中市,大甲區,庄美里,391,812,194,0.279885469,0.581245526,0.138869005,1397,11,1408,2055,0.685158151
6601100-007,6601100,台中市,大甲區,新美里,721,1200,274,0.328473804,0.546697039,0.124829157,2195,33,2228,3247,0.686171851
6601100-008,6601100,台中市,大甲區,岷山里,425,692,203,0.321969697,0.524242424,0.153787879,1320,17,1337,2011,0.664843362
6601100-009,6601100,台中市,大甲區,中山里,896,1329,413,0.339651251,0.503790751,0.156557998,2638,34,2672,4095,0.652503053
6601100-010,6601100,台中市,大甲區,南陽里,359,612,140,0.323132313,0.550855086,0.126012601,514,5,519,785,0.661146497
6601100-011,6601100,台中市,大甲區,薰風里,181,332,84,0.30318258,0.556113903,0.140703518,597,13,610,861,0.708478513
6601100-012,6601100,台中市,大甲區,義和里,572,1086,256,0.298850575,0.567398119,0.133751306,1914,27,1941,2993,0.648513197
6601100-013,6601100,台中市,大甲區,武陵里,252,385,90,0.346629986,0.52957359,0.123796424,727,11,738,1123,0.657168299
6601100-014,6601100,台中市,大甲區,文曲里,173,484,74,0.236662107,0.662106703,0.10123119,731,6,737,1103,0.668177697
6601100-015,6601100,台中市,大甲區,武曲里,369,665,146,0.312711864,0.563559322,0.123728814,1180,14,1194,1706,0.699882767
6601100-016,6601100,台中市,大甲區,文武里,1040,1888,441,0.308696943,0.560403681,0.130899377,3369,58,3427,5013,0.683622581
6601100-017,6601100,台中市,大甲區,奉化里,393,674,177,0.315916399,0.541800643,0.142282958,1244,17,1261,1878,0.671458999
6601100-018,6601100,台中市,大甲區,德化里,245,712,137,0.223948812,0.650822669,0.125228519,1094,8,1102,1673,0.658696952
6601100-019,6601100,台中市,大甲區,江南里,238,504,133,0.272,0.576,0.152,875,11,886,1289,0.687354538
6601100-020,6601100,台中市,大甲區,頂店里,766,1655,381,0.27337616,0.590649536,0.135974304,2802,42,2844,4137,0.687454677
